mode,fault,stream,phase,trials,requests_mean,success_rate_mean,error_rate_mean,shed_rate_mean,kill_switch_rate_mean,affected_rate_mean,affected_rate_min,affected_rate_max,p50_mean_ms,p95_mean_ms,p99_mean_ms,p99_min_ms,p99_max_ms,max_mean_ms
baseline,none,hit,normal,0,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000
baseline,none,hit,fault,0,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000
baseline,none,hit,recovery,0,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000
baseline,none,healthy-miss,normal,0,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000
baseline,none,healthy-miss,fault,0,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000
baseline,none,healthy-miss,recovery,0,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000
baseline,none,poisoned-miss,normal,0,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000
baseline,none,poisoned-miss,fault,0,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000
baseline,none,poisoned-miss,recovery,0,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000
baseline,transform-timeout,hit,normal,1,149.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.450,81.770,82.136,82.136,82.136,96.713
baseline,transform-timeout,hit,fault,1,300.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.581,29.656,49.199,49.199,49.199,58.280
baseline,transform-timeout,hit,recovery,1,300.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.558,81.787,82.324,82.324,82.324,86.619
baseline,transform-timeout,healthy-miss,normal,1,5.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2240.757,2245.158,2245.158,2245.158,2245.158,2266.849
baseline,transform-timeout,healthy-miss,fault,1,12.000,1.000000,0.000000,0.000000,0.000000,0.833333,0.833333,0.833333,12522.430,13332.809,13332.809,13332.809,13332.809,13338.064
baseline,transform-timeout,healthy-miss,recovery,1,12.000,1.000000,0.000000,0.000000,0.000000,0.250000,0.250000,0.250000,2277.274,7282.616,7282.616,7282.616,7282.616,8825.079
baseline,transform-timeout,poisoned-miss,normal,1,11.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,892.567,2258.676,2258.676,2258.676,2258.676,2289.721
baseline,transform-timeout,poisoned-miss,fault,1,24.000,0.166667,0.833333,0.000000,0.000000,0.833333,0.833333,0.833333,20011.911,20015.590,20016.588,20016.588,20016.588,20067.685
baseline,transform-timeout,poisoned-miss,recovery,1,24.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2221.329,9296.079,9682.404,9682.404,9682.404,12283.236
